Host Since,Host Response Time,Host Response Rate,Host Verifications,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 60,Availability 365,Number of Reviews,Last Review,Review Scores Rating,Review Scores Location,Cancellation Policy,Calculated host listings count,Reviews per Month
3396,3.0,100.0,4.0,0,1,2,1.0,1.0,1.0,1,9.0,28.0,0.0,0.0,1,5,1,1125,35,142,16,2256.0,94.0,9.0,0,2.0,2.54
3253,3.0,100.0,4.0,0,1,1,1.0,1.0,1.0,1,8.0,30.0,0.0,0.0,1,0,2,30,43,73,12,2269.0,89.0,10.0,0,2.0,0.73
3014,1.0,90.0,7.0,0,0,4,1.0,1.0,2.0,1,18.0,85.0,0.0,0.0,2,15,2,1125,10,47,12,2437.0,97.0,10.0,0,1.0,1.31
3152,2.0,100.0,5.0,0,0,2,1.0,1.0,1.0,1,13.0,52.0,300.0,0.0,1,0,1,1125,50,355,13,2291.0,92.0,10.0,2,2.0,1.65
2869,3.0,100.0,4.0,0,0,2,1.0,2.0,2.0,1,10.0,55.0,0.0,0.0,1,0,2,1125,35,50,0,3954.0,92.0,10.0,0,1.0,0.0
3649,1.0,89.0,4.0,14,1,2,1.0,1.0,1.0,1,9.0,84.0,0.0,50.0,1,50,1,1125,60,365,1,2792.0,80.0,10.0,2,1.0,0.06
2888,1.0,75.0,4.0,0,0,6,2.0,2.0,6.0,1,14.0,220.0,0.0,0.0,1,0,2,1125,47,330,2,2409.0,100.0,10.0,0,3.0,0.17
3028,3.0,100.0,4.0,0,0,4,2.0,2.0,2.0,1,14.0,145.0,500.0,90.0,1,0,3,1125,43,317,1,2290.0,80.0,10.0,2,37.0,0.73
2918,3.0,100.0,3.0,0,1,2,2.0,1.0,2.0,1,9.0,19.0,0.0,0.0,1,17,2,365,39,344,5,2347.0,88.0,10.0,2,14.0,0.28
3974,3.0,99.0,5.0,0,1,2,1.0,1.0,2.0,1,8.0,19.0,0.0,0.0,1,17,1,1125,44,349,7,2266.0,71.0,8.0,2,33.0,0.32
2613,3.0,100.0,6.0,14,1,1,1.0,1.0,1.0,1,17.0,26.0,0.0,10.0,1,0,1,1125,9,26,16,2253.0,93.0,9.0,1,1.0,3.97
3725,3.0,100.0,5.0,0,0,4,1.0,1.0,2.0,1,22.0,50.0,200.0,50.0,2,10,2,1125,3,3,12,2339.0,93.0,9.0,2,1.0,1.15
3177,3.0,100.0,4.0,15,0,6,2.0,3.0,4.0,1,21.0,160.0,200.0,50.0,4,10,2,1125,28,230,6,2279.0,100.0,9.0,1,13.0,0.99
4100,3.0,100.0,7.0,14,1,2,1.0,1.0,1.0,1,15.0,35.0,150.0,15.0,1,15,6,90,40,160,4,2277.0,93.0,10.0,0,2.0,1.11
2918,3.0,100.0,3.0,0,1,2,1.0,1.0,2.0,1,11.0,17.0,0.0,0.0,1,17,1,60,0,279,4,2349.0,95.0,10.0,2,14.0,0.53
3223,1.0,80.0,3.0,0,0,2,1.0,0.0,1.0,1,21.0,80.0,399.0,15.0,2,25,3,1125,48,78,16,2286.0,98.0,9.0,1,1.0,1.26
2908,0.0,0.0,3.0,8,0,3,1.0,2.0,2.0,1,15.0,60.0,0.0,0.0,1,0,3,30,0,27,0,3954.0,92.0,10.0,0,1.0,0.0
2329,2.0,100.0,7.0,14,1,1,1.0,1.0,1.0,1,16.0,29.0,100.0,0.0,1,0,7,30,60,91,1,2283.0,100.0,10.0,0,1.0,0.88
3917,3.0,100.0,3.0,0,1,1,1.0,1.0,1.0,1,14.0,25.0,0.0,0.0,1,0,1,90,41,346,78,2251.0,95.0,10.0,0,2.0,4.13
3772,3.0,100.0,3.0,0,0,2,1.0,1.0,1.0,1,16.0,60.0,0.0,0.0,1,0,1,1125,27,103,0,3954.0,92.0,10.0,0,1.0,0.0
3547,2.0,100.0,4.0,0,1,2,1.0,1.0,1.0,1,5.0,50.0,0.0,10.0,1,12,1,1125,60,365,17,2312.0,96.0,10.0,0,2.0,0.7
3801,0.0,0.0,3.0,0,0,4,1.0,1.0,2.0,0,21.0,65.0,100.0,40.0,1,0,5,15,0,0,0,3954.0,92.0,10.0,1,1.0,0.0
4059,0.0,0.0,4.0,0,1,1,2.0,1.0,1.0,1,14.0,29.0,100.0,0.0,1,0,1,30,0,0,5,2438.0,92.0,10.0,0,1.0,0.55
2453,3.0,100.0,6.0,0,1,2,1.0,1.0,1.0,1,10.0,32.0,0.0,5.0,1,5,1,1125,44,135,7,2254.0,97.0,10.0,0,2.0,3.44
3993,0.0,0.0,4.0,0,0,3,1.0,1.0,1.0,1,14.0,55.0,150.0,40.0,1,0,7,22,0,218,5,3600.0,87.0,8.0,2,1.0,0.09
4060,1.0,100.0,6.0,0,1,2,1.0,1.0,1.0,1,15.0,27.0,0.0,15.0,1,15,2,7,32,130,3,2256.0,100.0,9.0,1,1.0,3.0
2702,3.0,99.0,4.0,0,0,5,2.0,2.0,5.0,1,11.0,120.0,0.0,0.0,1,0,3,1125,0,41,0,3954.0,92.0,10.0,0,67.0,0.0
2617,3.0,100.0,6.0,0,0,3,1.0,0.0,1.0,1,24.0,98.0,200.0,18.0,2,10,2,91,14,123,16,2263.0,96.0,10.0,2,1.0,2.59
2962,2.0,100.0,4.0,0,0,8,3.0,4.0,7.0,1,20.0,356.0,0.0,300.0,1,0,30,1125,0,226,0,3954.0,92.0,10.0,2,39.0,0.0
2962,2.0,100.0,4.0,0,0,4,2.0,2.0,2.0,1,21.0,285.0,0.0,250.0,1,0,30,1125,0,281,1,2342.0,60.0,10.0,2,39.0,0.32
